"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 23 17:09:51 GMT 2023","Sun Jul 23 17:10:31 GMT 2023","39245","chromium","","Educations > Menu item [Position Trading]","","","TC_11.03.04_05_UnReg  > Test buttons [Trade] on Widget ""Most traded"" on 'English' language",""
"broken","Sun Jul 23 17:11:12 GMT 2023","Sun Jul 23 17:11:51 GMT 2023","39107","chromium","","Educations > Menu item [Position Trading]","","","TC_11.03.04_07_UnReg  > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Sun Jul 23 17:07:32 GMT 2023","Sun Jul 23 17:07:39 GMT 2023","6617","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Verify Login Form on Main page on العَرَبِيَّة",""
"passed","Sun Jul 23 17:07:50 GMT 2023","Sun Jul 23 17:07:51 GMT 2023","401","chromium","","Educations > Menu item [Position Trading]","","","TC_11.03.04_03_UnReg  > Test button [Start Trading] in Main banner on 'English' language",""
"passed","Sun Jul 23 17:07:24 GMT 2023","Sun Jul 23 17:07:29 GMT 2023","4226","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Check route on Education Menu on العَرَبِيَّة",""
"passed","Sun Jul 23 17:07:10 GMT 2023","Sun Jul 23 17:07:14 GMT 2023","4436","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Check route on Education Menu on English",""
"passed","Sun Jul 23 17:07:50 GMT 2023","Sun Jul 23 17:07:50 GMT 2023","315","chromium","","Educations > Menu item [Position Trading]","","","TC_11.03.04_02_UnReg  > Test button [Sign up] in the header on 'English' language",""
"passed","Sun Jul 23 17:08:21 GMT 2023","Sun Jul 23 17:08:37 GMT 2023","15430","chromium","","Educations > Menu item [Position Trading]","","","TC_11.03.04_04_UnReg  > Test button [Try Demo] in Main banner on 'English' language",""
"passed","Sun Jul 23 17:07:39 GMT 2023","Sun Jul 23 17:07:50 GMT 2023","11123","chromium","","Educations > Menu item [Position Trading]","","","TC_11.03.04_01_UnReg  > Test button [Log in] in the header on 'English' language",""
"failed","Sun Jul 23 17:13:15 GMT 2023","Sun Jul 23 17:13:35 GMT 2023","20044","chromium","","Educations > Menu item [Position Trading]","","","TC_11.03.04_08_UnReg  > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" on 'English' language",""
"passed","Sun Jul 23 17:07:19 GMT 2023","Sun Jul 23 17:07:24 GMT 2023","5878","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Verify Login Form on Main page on English",""
"passed","Sun Jul 23 17:10:31 GMT 2023","Sun Jul 23 17:10:46 GMT 2023","15456","chromium","","Educations > Menu item [Position Trading]","","","TC_11.03.04_06_UnReg  > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  on 'English' language",""
"skipped","Sun Jul 23 17:07:29 GMT 2023","Sun Jul 23 17:07:32 GMT 2023","3762","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Click on Swing Trading ddsds on العَرَبِيَّة",""
"passed","Sun Jul 23 17:07:14 GMT 2023","Sun Jul 23 17:07:19 GMT 2023","4355","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Click on Swing Trading ddsds on English",""
